Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Boom Retraction Mechanism","","3D-printed mechanism to attach and allow retraction/extension of the sensor boom, operated by a micro servo.","mechanical","3d_printed",1,1.50,1.50,""
"Z-Axis Magnetometer Mount","","3D-printed mount for the vertical magnetometer, ensuring Z-axis orientation and secure attachment to the sensor boom.","mechanical","3d_printed",1,0.75,0.75,""
"X-Axis Magnetometer Mount","","3D-printed mount for the horizontal magnetometer, ensuring X-axis orientation and secure attachment to the sensor boom, next to the Z-axis mag.","mechanical","3d_printed",1,0.75,0.75,""
"Laser Altimeter Mount","","3D-printed bracket to securely attach the laser altimeter to the sensor boom, ensuring an unobstructed downward view.","mechanical","3d_printed",1,1.20,1.20,""
"Flight Controller Mount","","Vibration-dampening mount for the Pixhawk flight controller, isolating it from frame vibrations for better IMU performance.","mechanical","3d_printed",1,2.00,2.00,""
"Payload MCU Mount","","3D-printed tray or standoffs to mount the Arduino Mega payload microcontroller securely on the frame's top plate.","mechanical","3d_printed",1,1.00,1.00,""
"GNSS Module Mast","","Tall 3D-printed mast for elevating the GNSS module above the main frame to improve signal reception.","mechanical","3d_printed",1,1.00,1.00,""
"GNSS Module Top Mount","","Small 3D-printed platform to mount the GNSS module securely on top of the GNSS mast.","mechanical","3d_printed",1,0.50,0.50,""
"Telemetry Radio Mount","","3D-printed enclosure or bracket for the telemetry radio module, typically mounted on a frame arm or side.","mechanical","3d_printed",1,0.60,0.60,""
"LiPo Battery Strap","Velcro LiPo Battery Strap","Velcro strap for securing the main LiPo battery to the drone's top plate.","mechanical","misc",2,2.00,4.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRMkxiw5NlRAyimJJ0LswnzQZIZq5emVeC2Hpxed7dvW7rcLMCLoq1XO5wRfryEZo0kfQabSi03L88oHTEr3KOjrU996eSPpPlFOtZkJL9t4yYWLToktmQWQhXPdQsntVbfMtLQvnIGiNJxLR5xE10CjHcnLxgaRCsVaCxKNgIjweHBMgXyUJcJoEG53sgwDrZmZ9IpIy7Y8b7ltRXlrUf052KGrIhyRRfA1deXVGhmLd5OlF8OpZ3wTUY5jjFEWhX1BpkkBCc7jB9aZrqjkg6pee9vjIrLpg9QoUThOuHKL6JUoia8yExHyPXGJPV6Av3frRvfhfqr61okIJusfXZMHNLvfA6wAE68ioIkIyfCeWZ6Rsbb9ilcsYXfkdKarpXhCTOjnoUB6tnwADWQiLj40xFXDQAOC1ZB3GOs8VknmBIxG6D3KM56oohhHHt1H0rk8eTrt5XwXHJsuCMuslyMET2PkyzoKrKukQxJQ85AihC6KvdC9qBzkmjgr5PQ7mAkRdnRzxBna5DjfGc6IH46r5RlvM4F1tnihxrnaqeyDe9r5ptyBvPDN6ibZaJwgKI9MN2rpVEmx9kez4hDUMYimVeZk2cTyTGnZg52dAKPuY5ox3JXIFhhMALOdMoPjF5bPFH3kPSOabPdxnE7M7qGL"
"M3 Nylon Standoff","M3 Nylon Hex Standoff Kit","Nylon standoffs used for mounting PCBs and components to avoid short circuits and provide spacing.","mechanical","misc",16,0.10,1.60,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwRZzPyacKAkPdKDBDnPZUjhWXR2NqrwBtXaSouCM9FPNVOq7ofQWRP71TIPopaXdmydGA12iihDiBsjeuB2yAzscRgAATxu1f45BJr5t4Thbvq38F17oSZGIL5GWFMiuafRRjRuVY2wMMjv9blDVjAvwWoQ6ApvJ6fMZ3ebZsDmZ8p4d4vwUdX0Jbs6UgPbyKJ715C6izEON5PYdLZEfim9GxnzPNSWlZYBUcVF9Vopjrep5PBbKhrSyz4iA7GGwJWzkzKFD7OCY46dLUCvG7iLQYu0S2SvxQfUDLFX93s5Q1xx5avkL4Z2YrXEsM9m4EioUsY4mm6JxmueF6OGFCIkTKToBFSL2pSQdjIwJ7Tbzumft9RSsscoKoNpx7PlTtypsOHVeMjzkNVRONnAJ3rNPDVaHxEpkeVah76EJo2RviPVroEvdme6A1FuT55ot9hK6TTfKSQAIr2c4QVkN7yyGYxG3CWTu2EbmWVwH8NPn9Puoc9sVnI5CPlcJujGBbLon5c2gjKFGUdgFw8BvUl8eZngddR2YczgbBVuI2Yj9p8iywlTOpNK3wKL19zuk0lRfEXYtXI7z8GExpMSJ6cLMdeKTVJ7VU7zr1Qcx7YAakXJBiLTQVsdsq9JYsMeVZJaPHQIkYPcq5sn4TxY5cg7"
"M3 Nylon Screw","M3 Nylon Screw Kit","Nylon screws used with standoffs for mounting components, non-magnetic.","mechanical","misc",24,0.05,1.20,"https://www.amazon.com/dp/B0F1NLJFZG?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M3 Nylon Nut","M3 Nylon Nut Kit","Nylon nuts for securing nylon screws and standoffs, non-magnetic.","mechanical","misc",16,0.03,0.48,"https://www.amazon.com/dp/B0B17JHRKV?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Cable Ties","Small Zip Ties","Assorted small plastic cable ties for wire management and securing lightweight components.","mechanical","misc",50,0.02,1.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxwr7BCIN1lpcvWYWPv21fhF3wrbip5LpsR3AlXofxNsNYokQDyNM6pVrq2zrziJB3e11ySaOjTbKe165Dc5HfKAc5M84AhcJu0qPYHz7dDj0T81p8hWQOXWXwKsIdp3afyVJ7kK87ujIQsNEStGVTLQTlPQgZ2o07pO4JiIVdaOYN4gkLFFbsi3qPxJJZr1fA7lRXKXcrEEcO3VGLeDZb9FGa1uPITnTLt0JhbDPSSfxvMhZNarywOo652d6nfnDTaVaFsteQjJchzpNyb8whaSjuDoT6ZPpdszyKRsPey1lPTMPyZD5x7E2VOFzT68vO7BlSBaHlJvyFFu4jDah1Z7Qm3I1tc4RxzHldA6T8QeOTC5rVU9VDRhOM1jNqkyEarVevk6FTIoOOYBgisWVLlSlwm64AtrS3tBQIkxCTn8RAwoQ5thgA52bQLj4FpM40lsy0Da3uveM0WMtDlESQruVrFqWdy50NP1vBS52Ohi2k1wCxtYnYao1qUDdl1wGXLYNV9T8hau2Y746nHVhwFCQpUgpD2HZliGDD2rzUEq9L89v8c4EnPwt4SPRlOg5XA5VMMJGLmRC7LpeUrG45DanrAEQ2iEzeFJYCDydzW9KVI9jKnBsq2j9xRd1cjxTFpVd8Wv3relO8S3NoNhWZQob"
"ESC Front Left Mount","","Per-position bracket for the ESC Front Left with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"ESC Front Right Mount","","Per-position bracket for the ESC Front Right with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"ESC Rear Left Mount","","Per-position bracket for the ESC Rear Left with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"ESC Rear Right Mount","","Per-position bracket for the ESC Rear Right with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
